gene	chromosome	start	end	strand
ABCC11	16	48165773	48247568	-1
ACE2	X	15494290	15607236	-1
ACKR1	1	159204568	159206500	1
ACTA2	10	88934815	88991339	-1
ACTG2	2	73892232	73919865	1
ADAM28	8	24294013	24359014	1
ADAMTS1	21	26835687	26845409	-1
ADGRE1	19	6887530	6940459	1
ADGRL4	1	78888173	79282124	-1
ADH1C	4	99336093	99382896	-1
ADH4	4	99123502	99157792	-1
ADIPOQ	3	186842674	186858463	1
AGER	6	32180963	32184365	-1
AGR3	7	16854680	16881990	-1
AHSP	16	31512938	31528808	1
AICDA	12	8602155	8613242	-1
AIF1	6	31615214	31617025	1
AKR1C3	10	5035354	5108244	1
ALAS2	X	55009055	55030986	-1
ALDH1A3	15	100861924	100916760	1
AMY2A	1	103617427	103625780	1
ANGPT2	8	6499632	6563436	-1
ANPEP	15	89784875	89815401	-1
APCDD1	18	10454589	10489949	1
APOA5	11	116789014	116793026	-1
APOBEC3A	22	38952741	38963184	1
APOLD1	12	12725917	12829975	1
AQP2	12	49950736	49958881	1
AQP3	9	33441156	33447596	-1
AQP8	16	25215731	25228936	1
AQP9	15	58138169	58185915	1
AR	X	67543353	67730619	1
ARFGEF3	6	138161692	138344663	1
ASCL1	12	102957667	102960513	1
ASCL3	11	8937578	8943016	-1
ASPN	9	92456193	92492208	-1
BAMBI	10	28677510	28684890	1
BANK1	4	101411286	102074904	1
BASP1	5	17065598	17276857	1
BBOX1	11	27040698	27186650	1
BCL2L11	2	111119378	111168444	1
BCL6	3	187721377	187745725	-1
BMX	X	15464246	15556529	1
BTNL9	5	181040224	181061916	1
C1orf162	1	111473754	111478513	1
C5orf46	5	147879632	147906544	-1
C6orf118	6	165279458	165309630	-1
C7	5	40909416	41020216	1
CA4	17	60147838	60178085	1
CAPN8	1	223538007	223665737	-1
CAV1	7	116524985	116561179	1
CAVIN1	17	42402449	42423322	-1
CAVIN2	2	191834298	191847253	-1
CCDC39	3	180602858	180684942	-1
CCDC78	16	722581	726954	-1
CCL19	9	34689562	34691355	-1
CCL27	9	34661880	34664048	-1
CCL5	17	35871491	35880793	-1
CCNB2	15	59105066	59126030	1
CCR2	3	46353864	46360940	1
CCR7	17	40551081	40565478	-1
CD101	1	117001721	117036552	1
CD14	5	140630402	140633711	-1
CD163	12	7469417	7503911	-1
CD19	16	28931965	28939342	1
CD1A	1	158254415	158258269	1
CD1C	1	158289769	158294774	1
CD1E	1	158353696	158357553	1
CD2	1	116754370	116769229	1
CD226	18	69831158	69961803	-1
CD247	1	167425027	167518640	-1
CD27	12	6444933	6451718	1
CD274	9	5450503	5470566	1
CD28	2	203706517	203739756	1
CD300E	17	74609878	74623857	-1
CD34	1	207880972	207911589	-1
CD3D	11	118334537	118342713	-1
CD3E	11	118304701	118316175	1
CD4	12	6786858	6820807	1
CD5L	1	157827034	157898256	-1
CD68	17	7579380	7582515	1
CD69	12	9752486	9760901	-1
CD7	17	82313564	82317625	-1
CD70	19	6583183	6604103	-1
CD79A	19	41877104	41881372	1
CD80	3	119523073	119580616	-1
CD83	6	14117256	14203465	1
CD86	3	122055356	122121557	1
CD8A	2	86784455	86808396	-1
CD93	20	23065139	23086393	-1
CDH16	16	66908122	66919187	-1
CDK1	10	60778312	60796346	1
CENPF	1	214603172	214664574	1
CFAP53	18	50227193	50266541	-1
CFB	6	31945650	31952086	1
CFHR1	1	196819314	196837159	1
CFHR3	1	196774742	196803130	1
CFTR	7	117287120	117715971	1
CHGA	14	92922630	92935293	1
CLCA1	1	86468368	86501401	1
CLCA2	1	86423483	86456553	1
CLEC10A	17	7074537	7081166	-1
CLEC14A	14	38254000	38256093	-1
CLEC4E	12	8533273	8541079	-1
CLECL1	12	9702182	9740383	-1
CLIC6	21	34668966	34718227	1
CNN1	19	11538767	11550323	1
COCH	14	30874438	30895501	1
COL17A1	10	104030753	104086410	-1
COL5A2	2	189030743	189225312	-1
CPA3	3	148865278	148898572	1
CRHBP	5	76952857	76981315	1
CRISPLD2	16	84819975	84920768	1
CSF2RA	Y	1268779	1325373	1
CSF3	17	40015361	40017816	1
CTLA4	2	203853888	203873965	1
CTSG	14	24573518	24576250	-1
CTSK	1	150794880	150809577	-1
CXCL10	4	76021118	76023518	-1
CXCL2	4	74096842	74099196	-1
CXCL6	4	73836622	73849064	1
CXCL9	4	76001275	76007515	-1
CXCR4	2	136114349	136119177	-1
CYP1A1	15	74719542	74738469	-1
CYP2A7	19	40873525	40882752	-1
CYP2B6	19	40991131	41018413	1
CYP2F1	19	41114432	41128381	1
CYP3A4	7	99756954	99784327	-1
CYP4B1	1	46757838	46870221	1
CYTIP	2	157409360	157491093	-1
DERL3	22	23834503	23839131	-1
DES	2	219417474	219426740	1
DIRAS3	1	68045513	68051717	-1
DMBT1	10	122560641	122643740	1
DNAAF1	16	84145261	84178769	1
DNASE1L3	3	58191375	58214697	-1
DPEP1	16	89613308	89638456	1
DPT	1	168695246	168729207	-1
DST	6	56457981	56955274	-1
DUSP2	2	96143166	96145447	-1
ECSCR	5	139446541	139462751	-1
EDN1	6	12287459	12297194	1
EDNRB	13	77895481	77975529	-1
EGFL7	9	136658284	136672684	1
EGFR	7	55018820	55211628	1
EHF	11	34617044	34663386	1
ELF5	11	34478791	34525193	-1
ENTPD1	10	95711752	95901433	1
EPCAM	2	47345158	47387601	1
ERBB2	17	39687914	39730426	1
ERG	21	38380027	38661963	-1
ESR1	6	151651284	152129619	1
FAS	10	88953813	89029605	1
FBLN1	22	45502238	45601981	1
FBN1	15	48408016	48645791	-1
FCER1A	1	159289714	159308224	1
FCGR1A	1	149734951	149792526	1
FCGR3A	1	161541738	161550968	-1
FCN1	9	134903232	134917982	-1
FCN2	9	134880698	134890672	1
FGFBP1	4	15934507	15948427	-1
FGFBP2	4	15960245	15969309	-1
FGL2	7	77193182	77199884	-1
FHL2	2	105352159	105438585	-1
FKBP11	12	48921518	48927909	-1
FOXA1	14	37468435	37596059	-1
FOXI1	5	170105893	170109734	1
FOXJ1	17	76136333	76141256	-1
FOXP3	X	49250436	49264800	-1
FSTL3	19	676366	683793	1
FXYD2	11	117800839	117828734	-1
GATA2	3	128479423	128493208	-1
GATM	15	45333479	45402327	-1
GCG	2	162142877	162152404	-1
GDF15	19	18374731	18389176	1
GEM	8	94249249	94262461	-1
GHRL	3	10285666	10292959	-1
GKN2	2	68938776	68953028	-1
GLIPR1	12	75480752	75503863	1
GLYATL1	11	58905398	59043527	1
GNG11	7	93921443	93928610	1
GNLY	2	85685175	85698854	1
GPC1	2	240435434	240468115	1
GPC3	X	133535745	133987100	-1
GPR183	13	99291820	99307474	-1
GPRC5A	12	12890782	12917937	1
GPX2	14	64939152	64942746	-1
GYPA	4	144108904	144140751	-1
GYPB	4	143983268	144019380	-1
GZMA	5	55102641	55110252	1
GZMB	14	24630954	24634277	-1
GZMK	5	55024249	55034570	1
HAMP	19	35280716	35285146	1
HAVCR2	5	157085422	157142869	-1
HEMGN	9	97926791	97944856	-1
HEPACAM2	7	93188444	93226559	-1
HES4	1	998962	1000825	-1
HIGD1B	17	44844763	44850480	1
HLA-DQB2	6	32756094	32763563	-1
HLA-DRA	6	32439870	32445181	1
HMGCS2	1	119747979	119769092	-1
HPGDS	4	94298507	94342876	-1
HPX	11	6426176	6442617	-1
IGF1	12	102395874	102481857	-1
IGHD	14	105836765	105845677	-1
IGSF6	16	21639550	21652638	-1
IL1R2	2	101991798	102029084	1
IL1RL1	2	102311502	102355365	1
IL2RA	10	6010689	6062370	-1
